init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-dec02,ens1,199201,-0.16491,-1.61251,0.13458,-0.25392,-0.38910,-0.78830,0.12060,0.46356,0.08695,0.77590
1991-dec07,ens1,199201,-0.35079,-1.20495,-0.54611,0.83120,-0.24892,1.00338,-0.33471,-1.29114,0.54106,0.17511
1991-dec12,ens1,199201,0.78930,-0.53299,-1.37785,-0.48122,-0.01854,0.50357,1.14158,0.17697,0.34329,2.31226
1991-dec17,ens1,199201,0.14329,0.46266,0.56623,0.45840,-0.85001,-0.86808,-0.01794,0.50614,-0.99168,1.56383
1991-dec22,ens1,199201,0.16892,-0.70436,-0.58576,0.21342,-0.38648,0.17047,2.56463,1.00754,-0.05643,1.05754
1991-dec27,ens1,199201,0.72444,-1.36079,0.34007,0.31556,-0.88619,0.40888,1.91578,1.04195,0.56017,0.76765
1991-jan16,ens1,199102,-1.87287,-0.64806,-0.06704,0.08265,-0.47613,2.10657,1.04907,0.14162,1.84081,0.42473
1991-jan21,ens1,199102,-1.32630,-0.52630,0.92602,0.56313,-1.06720,0.89612,-0.28977,-0.72587,0.09380,0.52369
1991-jan26,ens1,199102,-0.79496,-1.96061,0.49424,-0.13119,-0.75859,1.76085,0.38062,-2.15428,0.24900,1.47490
1991-jan31,ens1,199102,-0.46687,-0.16691,-1.28825,-0.60021,-1.24543,-3.01968,0.44986,-0.58608,0.55607,0.60743
1991-feb10,ens1,199103,0.29563,-0.18368,-0.14397,0.85658,0.71357,-0.43542,2.54278,-0.13013,-0.00656,-1.16705
1991-feb15,ens1,199103,-0.21542,0.29959,-1.22286,0.71980,0.55703,-1.14828,0.24684,-0.79816,-0.12157,-0.47264
1991-feb20,ens1,199103,0.51760,-0.27099,-0.99398,1.15631,0.55310,-0.02541,-0.61347,-0.63409,0.83965,1.04397
1991-feb25,ens1,199103,-0.84069,-1.54346,-0.66240,0.29669,1.54532,0.00439,0.62765,-1.80534,1.10664,0.48006
1992-dec02,ens1,199301,1.02543,-1.27201,-0.30842,-0.04503,-0.52901,-0.41738,0.54150,0.63400,0.11899,0.57374
1992-dec07,ens1,199301,0.65446,-0.71556,0.88128,-0.99235,-1.81369,-0.85780,0.68447,2.09935,1.09470,2.56284
1992-dec12,ens1,199301,0.32105,-0.22951,0.50639,0.64485,-0.49941,0.13965,0.21813,-0.45989,1.03659,1.11042
1992-dec17,ens1,199301,0.79030,-0.81012,0.60316,-0.39642,0.09150,0.43520,-1.40730,0.20925,0.23248,2.82866
1992-dec22,ens1,199301,1.36220,0.77721,0.47110,0.08520,-1.33660,0.28448,0.95412,0.26834,-1.04998,1.90464
1992-dec27,ens1,199301,2.39983,1.28011,0.59242,1.80534,-0.84389,-0.49451,0.34481,0.22817,0.27596,0.70261
1992-jan16,ens1,199202,-0.27461,-0.71143,0.06907,0.52037,-1.22188,2.10673,-1.29945,-1.90265,1.82180,1.56626
1992-jan21,ens1,199202,0.58870,-1.03501,-1.24911,0.33203,-0.78129,-0.79068,1.56700,-0.36386,-0.16786,2.23235
1992-jan26,ens1,199202,0.57764,-0.56906,-0.90997,-0.34813,-1.83510,1.23268,0.22546,0.75309,1.20891,1.93238
