init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun15,ens1,199107,0.47511,2.14160,0.47346,-0.61669,0.26531,-0.60032,1.36603,-0.10761,-0.69824,0.62505
1991-jun20,ens1,199107,1.35497,0.85001,0.75919,-0.66621,0.92291,-1.27148,-1.07587,0.58931,-0.29939,0.77498
1991-jun25,ens1,199107,0.64800,1.01998,-0.53731,-0.95531,0.34044,-0.49899,-1.11269,1.48186,-0.90842,0.71423
1991-jun30,ens1,199107,1.30853,1.23317,0.96820,-2.54508,1.59871,0.43717,-1.09794,2.04158,-1.56289,0.81300
1991-jul15,ens1,199108,1.73488,1.74089,1.26731,-2.53077,-1.49672,-1.18903,-0.50272,1.38692,-2.33968,2.49997
1991-jul20,ens1,199108,0.21477,0.68751,1.08335,-1.35021,-1.72053,-2.08829,-0.21046,-0.98782,-1.27791,0.28311
1991-jul25,ens1,199108,0.42004,0.10854,0.43794,-0.64034,-1.30357,-0.93842,-1.19927,-1.29455,-1.39406,-0.14467
1991-jul30,ens1,199108,0.73294,1.05824,2.14676,-1.64983,-0.24780,-1.06445,-0.26503,0.28816,-0.36542,-1.29975
1991-aug14,ens1,199109,0.95181,1.36371,0.07896,-2.50766,-1.05577,0.56446,0.18832,0.35113,-3.82791,1.57134
1991-aug19,ens1,199109,0.45185,1.20246,0.34861,-1.58733,-1.05131,-0.55062,0.01135,0.68337,-1.73461,0.28976
1991-aug24,ens1,199109,0.70523,1.32130,0.84882,-0.71358,-0.80195,-2.27235,0.47040,-0.48746,-1.12941,0.29912
1991-aug29,ens1,199109,1.11654,0.78840,0.34579,-1.26293,-0.21879,0.42317,0.08877,-0.66822,-1.40686,0.42927
1992-jun15,ens1,199207,1.22145,2.22101,1.57704,-3.07137,-1.10490,-1.44874,-0.28674,0.79796,-1.93604,1.20850
1992-jun20,ens1,199207,1.82101,2.96027,1.79951,-1.90539,-1.88986,-1.08423,-0.08239,1.53323,-2.34752,3.06812
1992-jun25,ens1,199207,2.26226,2.14746,1.79894,-1.88324,-1.30415,-0.13053,-0.24482,1.42358,-2.10644,1.82697
1992-jun30,ens1,199207,2.84046,2.51963,2.43377,-2.61826,-0.47159,0.72800,-1.84631,2.56565,-1.19054,1.31702
1992-jul15,ens1,199208,1.06517,2.43230,2.03481,-1.87080,-1.08362,-1.45508,0.86644,0.54157,-0.73382,1.56961
1992-jul20,ens1,199208,1.25047,1.38606,1.00089,-1.66971,-2.05347,-1.67733,1.38068,1.07522,-2.12235,0.20448
1992-jul25,ens1,199208,1.61642,1.47971,1.30918,-2.34377,-1.49623,-1.05697,0.49048,1.65864,-1.14429,0.30431
1992-jul30,ens1,199208,2.01873,1.02679,1.19272,-2.06674,-2.14312,-1.74032,-1.98577,0.96443,-2.04129,1.42222
1992-aug14,ens1,199209,1.23074,2.40627,1.75670,-3.19560,-1.80457,-0.40198,-1.16712,1.01080,-1.86439,2.47361
1992-aug19,ens1,199209,2.04143,2.80007,0.53569,-1.51039,-1.56601,0.81785,-4.16733,1.96331,-0.43478,3.87341
1992-aug24,ens1,199209,0.87124,1.01380,0.69858,-0.82015,-2.65960,-1.24357,-0.85870,0.20492,-1.73721,-0.09916
1992-aug29,ens1,199209,1.66673,1.06224,0.99765,-2.15490,-1.02857,-0.83975,-1.56924,-0.37731,-2.22396,0.37430
1993-jun15,ens1,199307,0.85233,2.14362,0.64442,-1.43743,-1.61572,-0.69843,-1.09007,1.23239,-1.82649,1.32095
1993-jun20,ens1,199307,1.59379,1.07421,1.25847,-1.33917,-1.09767,0.30544,-2.24271,0.98556,-1.88065,0.75641
1993-jun25,ens1,199307,0.96959,1.50581,1.01986,-1.96980,-1.05476,-1.20705,0.42360,0.09672,-1.61805,0.82018
1993-jun30,ens1,199307,1.75976,1.39882,0.91058,-1.54563,-0.18471,-0.96392,-1.30017,0.61827,-0.66175,0.71470
1993-jul15,ens1,199308,2.18319,1.80127,2.17620,-2.33716,-0.78883,0.00186,-2.21481,0.44737,-2.33037,1.27866
1993-jul20,ens1,199308,1.97817,0.83302,0.34546,-1.95584,0.12374,-0.22302,-2.93658,0.67722,-0.82993,1.08731
1993-jul25,ens1,199308,-0.03781,2.10048,0.77160,-1.71286,-1.22110,-1.57435,-0.69110,-0.87408,-1.60532,1.59062
1993-jul30,ens1,199308,1.02642,0.87803,0.98791,-0.47709,-1.41267,-1.37245,-0.71990,-1.34576,-1.17248,1.00651
1993-aug14,ens1,199309,0.34258,2.11048,1.12231,-2.69192,0.71748,-1.26573,-0.81215,1.01806,-1.55776,-0.32099
1993-aug19,ens1,199309,0.77385,0.95713,1.56161,-1.78274,-2.70876,-1.89988,-0.92550,-0.43926,-0.49573,0.58363
1993-aug24,ens1,199309,0.63601,1.62904,1.85821,-2.38161,-1.64100,-0.83218,-1.47659,0.81227,-0.21191,1.06911
1993-aug29,ens1,199309,1.23520,2.06136,1.71796,-1.39584,-0.93502,-0.36878,-2.36618,1.79649,-0.89504,1.09638
1994-jun15,ens1,199407,1.06301,0.52227,1.06517,-0.47003,-2.53425,-0.48818,-0.77185,1.25830,-0.99926,1.18106
1994-jun20,ens1,199407,1.15116,1.25770,0.81002,-0.47782,-1.79485,-1.02682,-1.43660,1.16524,-0.69013,1.35535
1994-jun25,ens1,199407,-0.04585,1.03065,1.51850,-0.38531,-0.69286,-1.19639,-0.44853,-0.26019,-0.33210,-0.21325
