init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jan,ensmean,199102,0.86167,1.32951,0.17401,0.97318,0.72996,0.38432,0.64583,0.15738,0.47032,-1.05280
1991-feb,ensmean,199103,-0.41119,-0.61093,-0.91553,-0.03028,-0.62629,-0.66554,-0.05825,-0.22300,0.08934,-1.14675
1992-jan,ensmean,199202,0.13601,0.25310,-0.63429,-0.13651,0.97277,-0.05166,0.44029,-0.19350,-0.69982,-0.10860
1992-feb,ensmean,199203,-0.99345,-1.74225,-0.08726,0.16518,-0.27828,-0.46907,-0.24807,-0.16724,1.00364,-0.19007
1993-jan,ensmean,199302,0.32796,-0.48270,0.91654,-0.81672,-0.62083,0.02105,-0.43916,0.41147,-1.09229,-0.59315
1993-feb,ensmean,199303,0.10414,-0.44185,-0.28357,0.12756,0.15954,-0.17761,-0.01777,-1.19976,0.45058,0.53497
1994-jan,ensmean,199402,0.48956,-0.01535,0.51267,0.04621,-0.96515,-0.38542,0.14776,0.35981,0.75103,1.04099
1994-feb,ensmean,199403,1.49859,1.54836,-0.08382,-0.41752,0.87160,0.37251,0.72186,-0.57595,-0.44391,-1.08764
1995-jan,ensmean,199502,0.29007,-0.63943,-0.35398,-0.08646,-0.14022,0.31172,-0.54252,-0.94006,-0.13826,0.07493
1995-feb,ensmean,199503,-0.13199,0.08246,-0.03686,-0.52153,-1.01027,-0.12776,0.38952,-1.10815,-0.13799,0.60993
1996-jan,ensmean,199602,0.78960,1.61116,-0.16688,0.87016,-0.09268,0.09151,0.45913,0.66678,0.70737,0.11282
1996-feb,ensmean,199603,0.96347,0.69452,0.62495,-0.26564,0.60002,0.18124,0.09137,0.61490,0.00473,-0.72726
1997-jan,ensmean,199702,0.07562,-0.13140,-0.07253,0.04361,-0.10297,0.22276,0.54799,-1.31324,0.02257,-0.40329
1997-feb,ensmean,199703,0.58384,-0.20725,-0.09172,0.74634,-0.58671,-0.01844,-0.15478,0.57048,-0.48858,-1.10374
