init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-dec02,ens1,199201,-0.27969,-1.70420,0.39948,0.23545,0.24236,-0.10398,0.98824,0.21025,-0.11344,-0.03034
1991-dec07,ens1,199201,-0.13692,-1.24706,-0.69423,-1.74708,0.28902,-0.42714,-1.07964,0.10184,0.04168,0.37743
1991-dec12,ens1,199201,0.49300,-0.36351,1.13633,-0.55584,-0.35977,-1.36710,0.01045,-0.46506,-0.07180,-1.09167
1991-dec17,ens1,199201,0.00096,0.36564,-0.03535,0.22605,0.39132,1.35626,0.60845,0.68946,-1.54582,-0.28662
1991-dec22,ens1,199201,0.10496,-0.62475,0.38133,0.47474,0.70118,-0.64473,0.62888,0.82217,0.00518,-2.92164
1991-dec27,ens1,199201,0.49605,-1.22036,0.54138,0.14311,1.43026,-0.25650,0.03701,2.11133,-0.06026,-1.36654
1991-jan16,ens1,199102,-2.14055,-0.45332,0.38200,-0.34486,0.83164,-0.68039,-1.74655,0.69794,1.43943,-1.41536
1991-jan21,ens1,199102,-1.38343,-0.70055,-0.70694,-0.69504,0.81904,1.22634,-0.40306,-0.37976,0.09595,-0.60462
1991-jan26,ens1,199102,-0.87085,-2.13823,0.08745,-2.11438,0.38051,1.30506,-0.84769,-1.71305,0.57133,-2.07553
1991-jan31,ens1,199102,-0.52896,-0.11707,0.74937,0.01728,0.56996,-0.60050,3.04104,-1.83416,-0.20852,0.30687
1991-feb10,ens1,199103,0.37048,0.03573,-0.31506,-0.51568,0.00186,-1.20129,1.08277,2.06763,0.20773,-1.07090
1991-feb15,ens1,199103,-0.12658,0.28998,-0.59624,-0.36267,-0.49495,-1.26871,1.37303,-0.15031,-0.59156,-0.05720
1991-feb20,ens1,199103,0.39504,-0.22898,-1.30527,0.04771,-0.74457,-0.58304,-0.00182,-1.12806,0.61264,-0.89188
1991-feb25,ens1,199103,-0.94798,-1.29264,-0.09485,-1.63548,-1.59350,-1.28260,0.65429,0.15885,0.56667,-0.84663
1992-dec02,ens1,199301,0.66743,-1.11393,0.36557,0.06603,0.50951,-0.40633,0.44822,0.44990,-0.29238,0.14480
1992-dec07,ens1,199301,0.38714,-0.76973,0.92320,2.07109,0.97843,2.01718,0.78242,-1.41785,1.68126,-1.19529
1992-dec12,ens1,199301,-0.09606,-0.25976,-0.27677,-0.59186,0.39743,0.36275,0.27238,0.42016,0.66800,-0.47346
1992-dec17,ens1,199301,0.40974,-0.70985,0.18374,0.23584,-1.00121,1.58913,-1.11306,-1.66193,0.35709,-0.02980
1992-dec22,ens1,199301,0.92945,0.98642,0.69731,-0.58804,1.20904,0.68211,-0.36199,0.89756,-1.59320,-0.44636
1992-dec27,ens1,199301,1.82319,1.49011,-1.38613,-0.03122,0.82071,0.34397,0.28277,1.18014,-0.01730,-0.63544
1992-jan16,ens1,199202,-0.41230,-0.87911,-0.44992,-1.97409,0.76766,0.74363,-1.84199,-1.78003,1.49594,-0.33340
1992-jan21,ens1,199202,0.56811,-0.96891,0.24267,-0.60558,0.18887,-1.03887,1.19945,-1.43105,-0.29372,-1.57026
1992-jan26,ens1,199202,0.29699,-0.42536,1.09614,-0.50859,1.26775,-0.72096,-1.25787,-1.12570,0.35024,-0.26921
1992-jan31,ens1,199202,0.06426,-0.65723,0.89380,-0.56794,0.04868,1.62193,-0.57979,-2.65995,-0.71090,-1.62164
1992-feb10,ens1,199203,0.54456,-2.19188,-0.70074,-0.05622,0.51079,-0.91330,-0.54870,0.09429,-0.36855,-0.31062
1992-feb15,ens1,199203,-0.16189,-1.48679,0.34356,-0.28742,0.99422,-1.27550,0.84270,1.34947,0.72851,0.59967
1992-feb20,ens1,199203,-0.93795,-1.35203,0.63271,-0.36765,-0.86006,-1.07488,-1.43822,0.59457,0.61068,-2.15116
1992-feb25,ens1,199203,0.27026,-1.90250,0.16613,1.38079,1.09954,-0.79960,-0.86694,0.92533,0.19586,0.77492
1993-dec02,ens1,199401,1.96383,0.15878,-0.21072,-0.47376,0.45037,0.85129,0.38300,-0.05954,-0.56251,-1.17556
1993-dec07,ens1,199401,-1.93118,-1.47382,-0.74904,0.37658,-0.56094,-0.38382,0.34917,1.06826,-0.50633,0.46517
1993-dec12,ens1,199401,-0.78183,-1.21767,1.02461,0.06640,-0.57730,-1.03783,-0.76484,-0.22573,0.75514,-1.21144
1993-dec17,ens1,199401,-0.10527,-1.55983,1.19780,-0.91738,-0.29093,-0.98702,0.06988,1.07076,-0.46746,-0.30270
1993-dec22,ens1,199401,-1.33338,-0.42526,-0.64561,-0.12093,-0.41340,-1.24365,-0.32930,1.74573,-0.21412,0.56923
1993-dec27,ens1,199401,0.54851,-0.38788,-0.14492,0.04481,-0.01010,1.68366,-0.96829,0.18562,0.08267,-0.49013
1993-jan16,ens1,199302,0.35233,-1.10813,1.70822,0.74487,0.09123,-0.87531,0.17585,1.26105,0.27041,-0.22325
1993-jan21,ens1,199302,-0.12089,-1.24791,0.58743,0.01994,0.21610,-0.61140,-0.49375,2.44730,-0.50523,-0.60321
1993-jan26,ens1,199302,0.19578,0.03006,-0.51629,-0.87428,0.73078,0.32195,-2.39608,-2.12312,-0.76954,-2.08964
1993-jan31,ens1,199302,1.21874,-1.65524,0.90934,-0.00060,0.54758,1.28197,-0.57750,0.91593,-1.49297,-0.91909
1993-feb10,ens1,199303,0.48542,-0.85082,-1.26820,1.86202,0.20934,-0.78834,0.33064,-0.10713,0.82365,-0.89603
1993-feb15,ens1,199303,-0.40541,-0.39343,-0.28319,-0.80993,-0.40163,-0.44055,1.90040,-0.76148,-1.22680,-0.36838
1993-feb20,ens1,199303,-0.30529,-0.91684,-0.94745,0.51030,-0.90449,-1.21699,1.35985,-0.00140,1.26746,-1.02103
1993-feb25,ens1,199303,0.68129,-0.52800,0.92138,1.46154,0.21179,-0.14406,1.32088,-0.16198,0.66966,0.17518
1994-dec02,ens1,199501,0.51501,-1.45750,-2.15683,0.55125,-1.01244,-0.00118,0.59502,-2.57626,-1.51507,-2.36346
1994-dec07,ens1,199501,-0.46614,-1.03546,-1.56745,1.09619,0.02375,-2.21826,0.95919,1.59897,0.41477,-0.41440
1994-dec12,ens1,199501,0.11141,-1.61643,-2.44676,1.02630,0.73999,-0.29652,-1.09183,-0.65155,0.09582,-1.56897
1994-dec17,ens1,199501,0.24112,-0.96370,0.66195,1.81180,0.31825,-0.59864,0.44916,-0.49431,0.28642,-0.78520
1994-dec22,ens1,199501,1.38615,0.19734,-1.19728,-0.75412,0.36840,0.42398,-0.20637,-0.50942,-0.78484,-0.83273
1994-dec27,ens1,199501,0.20458,-1.02210,0.62113,-0.04327,-1.49488,-0.49512,-0.39982,0.89955,-0.39962,-1.25844
1994-jan16,ens1,199402,1.31563,2.49053,-0.47383,-2.07442,1.05789,0.28515,0.79252,0.89119,-0.64709,-1.45472
1994-jan21,ens1,199402,-0.83654,0.76025,0.85604,1.00534,-0.96330,-1.20108,1.41386,2.07076,0.02653,-0.19922
1994-jan26,ens1,199402,1.12033,1.66013,-0.83848,0.44659,1.77662,1.79631,2.12363,-1.94041,-1.26256,-2.08489
1994-jan31,ens1,199402,1.06328,0.48173,-0.93467,-0.84460,-1.07909,2.52026,1.52971,0.65093,-0.26271,-0.58904
1994-feb10,ens1,199403,1.50671,0.92580,-0.48043,0.16217,1.08619,0.24184,-0.19152,-1.07415,-0.41818,-1.32176
1994-feb15,ens1,199403,0.93786,0.21412,-0.61342,0.20890,0.49743,1.48685,0.62559,-0.68828,0.87490,-1.26581
1994-feb20,ens1,199403,1.03748,-0.09703,0.18132,0.16391,-0.77017,-0.29645,1.05341,-1.02612,-0.33130,-1.01777
1994-feb25,ens1,199403,1.75978,-1.30346,-0.72194,0.14932,-1.08068,-0.37878,0.00322,-0.82230,1.77159,-0.58703
1995-dec02,ens1,199601,0.89521,1.23980,-0.93034,-0.51982,-0.87529,-0.82094,0.17455,-0.09605,0.97389,-1.47470
1995-dec07,ens1,199601,0.13773,-0.00726,-1.70253,0.32107,-0.04895,1.93199,0.09446,0.31967,0.05282,0.30041
1995-dec12,ens1,199601,0.03205,-0.49896,-1.23876,0.19626,-1.23269,-0.51304,-0.61204,0.97396,1.61241,0.10790
1995-dec17,ens1,199601,1.13485,-0.14382,-0.42256,-1.07206,-0.63730,0.70217,-0.38568,-1.75630,1.48401,0.32839
1995-dec22,ens1,199601,1.97078,-0.42269,-0.70325,-0.44567,-1.56249,1.90870,0.41323,-1.17993,0.17076,-0.93851
1995-dec27,ens1,199601,-0.31775,0.07508,-0.49787,-1.13592,-1.08093,1.36024,-2.07238,-0.47097,1.48609,0.43470
1995-jan16,ens1,199502,-0.52103,-1.62893,1.28192,-0.17721,-1.44593,-0.06086,0.67246,1.12035,-0.24344,0.43693
1995-jan21,ens1,199502,-0.22477,-1.16759,0.17154,-0.56736,-0.17375,-0.21176,-0.55675,0.91318,0.78165,-0.38063
1995-jan26,ens1,199502,0.88789,-1.64632,-0.98130,0.92181,-0.74473,0.46654,-0.86695,0.05000,0.24011,-2.34612
1995-jan31,ens1,199502,1.24430,-1.33838,-0.65118,-1.23632,-0.40550,-0.01697,0.40831,0.75337,-0.10902,-1.05281
1995-feb10,ens1,199503,0.35086,-0.34645,0.24426,-1.51360,-0.55913,-1.38370,1.03909,3.86918,0.92685,1.33095
1995-feb15,ens1,199503,-1.16691,-1.58930,0.18466,0.44191,-0.70963,1.50556,-1.32407,-0.90240,-0.21262,0.26727
1995-feb20,ens1,199503,0.91624,-1.35149,1.67944,0.69896,-0.67878,0.31652,1.05996,0.53777,-0.68091,-0.80399
1995-feb25,ens1,199503,-0.04048,0.16742,0.07996,0.65499,-0.21578,-1.02816,-0.59590,1.60527,1.76773,0.95089
1996-dec02,ens1,199701,-0.19410,-0.65899,0.66885,1.09116,-0.96092,0.90564,2.02843,0.40353,-1.37736,-1.23048
1996-dec07,ens1,199701,-0.85674,-0.29446,0.50077,0.13986,-0.08188,-0.50075,-0.22167,1.26185,1.68999,-0.43432
1996-dec12,ens1,199701,0.67576,1.02340,0.43451,0.07212,2.02240,1.42611,0.17170,-0.33792,-0.13473,-0.20714
1996-dec17,ens1,199701,-1.83856,0.74235,-0.58278,-1.06659,0.59616,1.22823,-0.57240,0.31837,0.54738,1.56214
1996-dec22,ens1,199701,0.84639,0.59217,0.14707,1.10979,2.54982,1.75055,0.13570,0.38217,0.24609,-0.46038
