init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-dec02,ens1,199201,-0.83002,-1.66184,0.38407,0.58060,0.36061,-0.41070,0.78755,0.10482,0.19970,0.43208
1991-dec07,ens1,199201,0.02838,-1.28396,-0.76147,-1.62389,0.60555,-0.61897,-1.20355,-0.29997,-0.16627,-0.01984
1991-dec12,ens1,199201,0.70897,-0.30667,1.30626,-0.63614,0.23115,-1.50839,-0.62111,-1.06540,-0.11382,-1.25652
1991-dec17,ens1,199201,-0.25498,0.64659,-0.34186,0.08430,-0.01770,1.29611,0.68607,0.63161,-1.16447,-0.16697
1991-dec22,ens1,199201,-0.16620,-0.39434,0.59551,-0.18557,0.65251,-0.68866,0.49740,0.10468,0.31585,-2.28813
1991-dec27,ens1,199201,0.00742,-0.99735,0.50226,-0.22665,0.77944,-0.43585,-0.10802,0.79436,0.40495,-0.99507
1991-jan16,ens1,199102,-1.72062,-1.11702,0.52052,-0.26444,1.17723,-0.46976,-0.60707,0.19463,1.21753,-1.17890
1991-jan21,ens1,199102,-1.41211,-0.80127,-0.76976,-0.69326,0.99862,0.95501,0.16701,-0.03351,-0.04887,-0.51215
1991-jan26,ens1,199102,-0.70973,-1.90923,0.22187,-2.29404,1.22601,0.41874,-1.06616,-1.36767,0.35116,-2.25002
1991-jan31,ens1,199102,-1.02192,-0.22622,0.73422,0.61366,1.32000,-0.96255,2.44554,-1.46875,-0.48652,0.19432
1991-feb10,ens1,199103,0.18798,0.19934,-0.59778,-0.58032,-0.34345,-0.52751,0.94153,1.44494,0.62239,-1.03371
1991-feb15,ens1,199103,-0.16523,0.26080,-0.69413,-0.17505,-0.04006,-0.88994,1.14854,-0.06105,-0.62448,-0.08533
1991-feb20,ens1,199103,0.50399,-0.07791,-0.91626,-0.42698,-0.38398,-0.53617,-0.19827,-0.50364,0.36326,-0.63225
1991-feb25,ens1,199103,-0.76494,-1.37365,-0.32361,-0.99441,-0.69010,-0.78300,0.56353,0.52955,0.82134,-0.84825
1992-dec02,ens1,199301,0.26699,-0.95207,0.39754,0.08518,0.37464,-0.73084,-0.03870,-0.13825,-0.10986,0.27865
1992-dec07,ens1,199301,-0.27102,-0.48770,1.45153,1.56934,0.46365,1.10963,0.64567,-0.66349,1.70694,-0.45107
1992-dec12,ens1,199301,-0.19836,-0.16369,-0.39686,-0.62321,0.20273,0.40416,0.29927,0.45999,0.70745,-0.58705
1992-dec17,ens1,199301,0.56424,-0.45073,0.46582,0.03785,-0.84071,1.01599,-1.29904,-0.72427,0.33430,0.10275
