init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun,ensmean,199107,-0.08300,-0.10775,-0.88832,-0.18253,-0.84238,-0.32729,-1.09287,-0.71313,0.00407,0.84101
1992-jun,ensmean,199207,1.21270,1.17565,-0.27521,-0.76469,-0.96516,-0.31837,-2.04672,0.16545,-1.08674,-1.09524
1993-jun,ensmean,199307,0.95143,0.15824,-0.15250,-0.11569,-0.93393,-0.01220,-2.21530,-0.18221,-0.71116,0.10969
1994-jun,ensmean,199407,0.70009,-0.04382,-0.33083,0.02248,-0.73573,-0.15741,-1.59386,0.52250,-0.47305,-0.56891
1995-jun,ensmean,199507,0.33975,0.67962,-0.51225,0.33386,-0.92405,-0.04032,-0.79182,0.71192,-0.13816,-0.32180
1996-jun,ensmean,199607,-0.30446,0.53494,0.14098,-0.33551,-0.75047,-1.06218,-0.97583,-0.20207,-0.27067,-0.21955
1997-jun,ensmean,199707,0.58967,-1.05173,0.29560,-0.14710,-0.42868,0.69554,-0.91980,-0.34793,-0.50755,-0.74741
1998-jun,ensmean,199807,-0.05741,0.20674,-0.17435,0.62465,-0.30927,-0.02999,0.86107,1.06714,0.02198,-0.01194
1999-jun,ensmean,199907,-0.19707,0.94953,-0.18206,-0.14818,-0.82321,-0.08546,0.10591,-0.25124,0.22459,-0.42333
2000-jun,ensmean,200007,-0.33267,-0.01987,-0.18275,-0.23812,-0.19745,0.09425,0.59735,-0.16942,0.34037,0.17305
2001-jun,ensmean,200107,0.37367,0.49362,0.01556,-0.81553,-0.11280,-0.12235,0.30303,-0.18194,-0.11304,-0.18318
2002-jun,ensmean,200207,0.21119,-0.36821,-0.41637,0.26726,0.62695,-0.45573,0.03323,-1.14375,0.13664,0.39159
2003-jun,ensmean,200307,-0.65185,-0.20170,0.02689,-0.25569,0.39944,0.42574,0.76690,-0.43935,0.37975,0.46333
2004-jun,ensmean,200407,0.14415,-0.58381,0.07077,-0.10034,0.32892,-0.33404,0.14479,-0.28525,-0.35111,-0.28842
2005-jun,ensmean,200507,-0.55942,-0.02690,-0.21952,0.22871,0.77658,0.19567,0.31127,0.12448,-0.81659,0.14259
2006-jun,ensmean,200607,-0.26405,0.70412,0.62151,0.58874,-0.02371,-0.63573,0.53271,0.00773,-0.09684,-0.29591
2007-jun,ensmean,200707,0.56426,-0.17603,-0.21756,-0.50480,0.26027,0.01525,0.61398,-0.75509,0.09705,-0.51998
2008-jun,ensmean,200807,-0.47297,0.13244,0.07714,0.06885,0.17285,-0.35898,0.41400,0.68807,0.17126,-0.70351
2009-jun,ensmean,200907,-0.80571,-0.26689,0.05463,0.06259,-0.03013,-0.29065,-0.72224,-0.24634,0.23047,0.59588
2010-jun,ensmean,201007,0.56934,-0.55305,0.17726,0.21346,0.21621,0.65028,0.41595,-0.04301,0.24183,0.07789
2011-jun,ensmean,201107,0.04941,0.01302,0.59415,-0.24740,0.70098,-0.01063,0.08027,0.78282,-0.14301,-0.09768
2012-jun,ensmean,201207,-0.97384,-0.65277,0.21753,-0.18928,0.31715,-0.09820,0.30401,0.29756,-0.37747,0.40786
2013-jun,ensmean,201307,-0.42708,-0.23827,-0.09971,0.08703,0.29943,0.73176,0.86542,-0.12710,0.39164,0.36539
2014-jun,ensmean,201407,0.11748,0.11569,-0.09461,0.70836,0.13240,-0.36223,0.16605,0.71250,0.29369,0.29456
2015-jun,ensmean,201507,-0.63651,0.03037,0.12769,0.21032,0.92742,0.47657,0.49561,-0.28155,0.24847,0.12219
2016-jun,ensmean,201607,0.27596,0.09296,0.18195,0.27048,0.92086,0.37595,1.08359,-0.29314,0.46915,0.03062
2017-jun,ensmean,201707,0.10331,-0.08209,0.54011,0.06297,-0.09550,0.11673,0.70744,0.09160,0.47528,0.57957
2018-jun,ensmean,201807,-0.11196,0.17105,0.16898,-0.07204,0.03133,0.23712,0.98733,0.21997,0.70250,0.26128
2019-jun,ensmean,201907,-0.08143,-0.52061,0.34065,0.32946,0.51710,0.29558,-0.18883,-0.00759,0.24892,0.73932
2020-jun,ensmean,202007,-0.24298,-0.56451,0.09464,0.03767,0.54459,0.39133,0.75740,0.27837,0.40772,-0.11897
