init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun15,ens1,199107,-0.00977,-0.20155,-0.21246,0.02749,-1.57739,0.61212,-0.05670,-2.02742,-0.22977,-0.57495
1991-jun20,ens1,199107,-1.39589,1.19553,-1.01480,-0.39199,-0.17192,-0.80849,0.05385,-0.32956,-0.01216,0.22761
1991-jun25,ens1,199107,-0.81315,0.28477,0.09337,1.39824,0.20508,-1.44139,-0.81710,0.22302,-0.87236,1.17606
1991-jun30,ens1,199107,-1.60790,-0.72206,-0.17338,-0.11670,0.96437,-1.49579,-1.81956,-0.86007,-1.68435,1.19171
1991-jul15,ens1,199108,0.73537,0.49269,-1.01139,0.44691,-0.80829,-0.69443,-2.27142,-0.63176,-1.56459,1.40964
1991-jul20,ens1,199108,1.06847,1.79529,-0.04871,-0.29889,0.00156,0.57725,-1.86171,0.26065,-0.61130,-1.06100
1991-jul25,ens1,199108,0.38538,0.99684,0.07332,0.49931,0.40355,1.04733,-0.71334,1.17819,-1.43667,-0.86363
1991-jul30,ens1,199108,-0.00711,1.72322,-0.34317,-2.01773,-0.07391,-0.59843,-0.75615,-0.23151,0.32702,-1.67715
1991-aug14,ens1,199109,1.16315,-1.93518,0.01831,1.80740,0.21539,0.01380,-2.04268,-0.78971,-4.12602,0.28821
1991-aug19,ens1,199109,0.87399,-0.06776,-0.24425,0.66907,0.47275,-1.61746,-1.30364,-0.33092,-1.39272,-0.87066
1991-aug24,ens1,199109,0.41901,2.35084,-0.90372,-0.19557,-0.90145,-0.05650,-0.54631,-1.07827,-0.35351,-1.06316
1991-aug29,ens1,199109,0.52614,-0.23206,-1.18888,1.20751,-0.28028,0.62399,-1.56829,-0.30093,-1.06111,-0.96869
1992-jun15,ens1,199207,0.60837,0.71981,-0.36489,-0.07653,-0.49038,-0.24186,-2.97012,-0.78614,-0.96211,0.05582
1992-jun20,ens1,199207,2.09260,0.32834,-1.33352,-0.37446,-3.06175,-1.08673,-1.09281,-0.46171,-0.76976,0.29033
1992-jun25,ens1,199207,1.00582,-0.84360,-1.29433,-0.54288,-1.13898,-0.05505,-0.79013,-0.73729,-1.23702,0.19683
1992-jun30,ens1,199207,-0.10553,-1.10607,-1.66967,-0.88276,-1.66923,-1.39960,-1.43766,0.63572,-0.28562,0.02975
1992-jul15,ens1,199208,1.22330,0.77122,-0.11416,-1.47124,-1.70902,-0.47864,-0.96098,-1.76016,0.28863,0.46021
1992-jul20,ens1,199208,2.14474,0.77078,-1.48537,0.44010,-0.01804,-1.11691,-1.36807,-1.31100,-0.98998,-1.26067
1992-jul25,ens1,199208,1.75467,0.65310,-1.68668,0.32191,0.50616,-2.14852,-1.89310,-0.76421,-0.01301,-0.97235
1992-jul30,ens1,199208,1.24673,1.87793,-1.83728,0.72356,-0.36506,-0.84189,-2.51650,1.79839,-0.92083,-0.34698
1992-aug14,ens1,199209,1.81459,-1.43800,-0.02136,-0.25566,-1.20384,0.15586,-3.36511,1.11212,-1.03808,0.65428
1992-aug19,ens1,199209,0.80725,-1.65139,-0.69266,0.83981,-3.90130,0.07845,-2.17718,3.71324,-0.10968,2.47222
1992-aug24,ens1,199209,1.67116,1.17192,-0.83832,0.58799,-0.67262,-0.56445,-1.11914,1.71756,-0.96607,-2.10365
1992-aug29,ens1,199209,0.65070,0.66705,-0.86205,0.55409,0.25978,1.24104,-2.76948,1.11846,-2.17328,-1.33488
1993-jun15,ens1,199307,0.67628,-0.15941,-0.06039,0.45005,-1.21437,-0.63843,-0.98025,0.99381,-0.73641,-0.30345
1993-jun20,ens1,199307,0.14759,0.11887,-0.79068,-0.06079,-1.03763,-0.61300,-1.11939,2.27812,-1.09195,-0.52781
1993-jun25,ens1,199307,0.94945,0.90413,-0.66529,0.29619,-1.03833,0.33903,-1.89105,-0.83417,-0.86947,-0.93971
1993-jun30,ens1,199307,-0.99647,0.72410,-1.20738,0.10037,-1.20442,0.19684,-1.36047,-0.04738,0.12451,0.14577
1993-jul15,ens1,199308,0.13390,-0.22757,-0.85803,-0.78095,-0.98868,0.03680,-1.89007,1.17420,-1.81914,-0.37569
1993-jul20,ens1,199308,-1.32445,0.10702,-0.87974,1.23643,0.16212,0.35681,-2.14641,1.71774,-1.07146,1.22404
1993-jul25,ens1,199308,0.91271,0.90179,1.01741,0.32315,-1.94244,1.36131,-2.48077,0.37652,-1.18919,0.35527
1993-jul30,ens1,199308,0.77048,1.25846,-0.70207,0.19132,-1.19484,1.95682,-0.60787,0.62991,-0.44891,-0.55917
1993-aug14,ens1,199309,-1.26490,1.18982,0.92406,-0.60059,0.02224,-1.35076,-2.45517,-0.48953,-1.15060,-1.08648
1993-aug19,ens1,199309,1.75699,1.49763,-0.51647,-0.81069,-0.56922,0.64539,-1.75646,0.59225,0.72799,-0.71414
1993-aug24,ens1,199309,1.03627,-0.09233,0.32340,-1.07195,-0.80042,-0.22996,-2.42727,1.52126,0.71728,0.00758
1993-aug29,ens1,199309,-0.00896,0.17437,-0.13111,-1.43748,-2.00641,-0.87523,-0.72215,1.85401,0.05738,-0.06848
1994-jun15,ens1,199407,1.98466,0.00672,-0.90458,-0.22431,-0.44007,-0.91389,-0.68404,1.26661,-0.34950,0.46087
1994-jun20,ens1,199407,0.97817,0.81735,-0.80273,-0.20892,-1.49889,-0.46010,-0.61189,1.45920,-0.15308,0.70050
1994-jun25,ens1,199407,0.30168,1.07254,0.44432,-1.76132,-1.24077,0.23712,-0.05144,0.49092,0.11824,-1.34057
1994-jun30,ens1,199407,-0.42289,-0.25927,0.70102,0.08289,-0.75700,-0.60940,0.03962,-0.05136,-0.59525,0.29842
1994-jul15,ens1,199408,2.77063,-0.73457,-0.05563,-0.19918,-0.20453,0.27939,-1.16147,-0.74282,0.53066,-0.20456
1994-jul20,ens1,199408,1.00993,-0.37910,-0.96983,-0.51026,-1.75404,0.73965,-1.13598,0.56682,-0.62107,-0.09542
1994-jul25,ens1,199408,0.68325,-0.16920,-0.19968,-0.67016,-1.87267,0.05201,0.01631,0.45691,-0.63769,0.20304
1994-jul30,ens1,199408,2.07164,0.34211,1.44724,0.48255,-2.09316,1.55233,-0.81878,0.11620,-0.98598,2.00615
1994-aug14,ens1,199409,0.79517,0.81361,-0.52639,-0.33892,-0.05266,-0.03881,-2.39052,-1.32128,1.15635,-0.90662
1994-aug19,ens1,199409,0.61167,1.21784,-1.67956,0.11406,0.17357,-0.41021,0.66153,-0.47101,-0.72907,-0.47500
1994-aug24,ens1,199409,0.84055,-0.15033,0.75141,-1.11941,-1.22177,1.08855,0.34830,1.17637,0.31738,0.76804
