init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jan,ensmean,199102,0.85859,1.53495,0.12274,-0.10233,-0.18852,-0.24070,0.89493,0.13680,0.68127,0.93152
1991-feb,ensmean,199103,-0.35316,-0.76376,-0.21472,0.89091,0.12038,-0.00103,0.33411,-0.12810,0.36028,0.43484
1992-jan,ensmean,199202,-0.13447,0.18385,-0.34041,0.64446,-0.94284,-0.27309,0.24873,-0.44772,-0.27170,0.35302
1992-feb,ensmean,199203,-1.15641,-2.06868,-0.37769,0.12078,-0.31923,-0.19703,0.11239,0.54593,1.50586,0.70541
1993-jan,ensmean,199302,0.51945,-0.28029,-0.07734,-0.58680,0.39100,0.83965,0.08638,-0.46428,-0.15090,1.23741
1993-feb,ensmean,199303,0.05186,-0.54593,-0.69936,-0.02479,-0.76152,-0.05030,-0.54123,-0.02461,0.87266,1.25596
1994-jan,ensmean,199402,0.54486,0.01795,0.27620,-0.41882,1.08247,-0.16505,-0.32726,0.57091,0.74852,-0.15502
1994-feb,ensmean,199403,1.54343,1.98604,-0.26377,-0.03210,-0.50466,0.50783,0.81245,-1.46628,-0.69841,0.69773
1995-jan,ensmean,199502,0.26964,-0.60106,-0.34814,0.05688,-0.33253,0.63736,-0.72402,-0.29913,-0.19560,0.74742
1995-feb,ensmean,199503,-0.10648,-0.10673,-0.25846,0.03342,0.26132,-0.39898,-0.39769,-0.16600,-0.00052,0.32450
1996-jan,ensmean,199602,1.04887,1.75701,0.62401,0.25107,0.92168,-0.49688,0.43359,0.45132,0.86904,0.42257
1996-feb,ensmean,199603,1.13947,0.96535,0.15445,-0.38977,-0.02237,0.58615,0.81647,-0.69956,0.49818,0.89160
1997-jan,ensmean,199702,0.06169,0.00964,-0.32961,-0.18332,-0.35036,-0.28368,0.02581,-0.24527,-0.07055,1.17045
1997-feb,ensmean,199703,0.52753,-0.02069,-0.06359,0.00396,0.73946,0.26292,0.16410,0.40395,-0.03208,0.53927
1998-jan,ensmean,199802,-1.31644,-1.91592,-1.15288,0.31339,-1.57659,0.21938,-0.99318,0.13564,-0.30648,-0.24369
1998-feb,ensmean,199803,-0.98144,-1.56675,-1.82034,-0.64781,-1.15604,0.69259,-0.70671,-0.09316,-0.64955,-0.41230
1999-jan,ensmean,199902,-0.70677,0.35026,-0.14540,-0.58346,-0.52326,-1.03368,0.61145,0.34653,1.20006,0.33454
1999-feb,ensmean,199903,0.76067,1.23461,0.35388,-0.21860,0.21702,0.42088,0.35016,-0.49863,-0.44467,0.60360
2000-jan,ensmean,200002,1.23671,2.44216,0.85954,-0.68396,-0.91403,-0.24319,0.50073,-0.81658,-0.13110,1.52433
2000-feb,ensmean,200003,1.24195,0.90083,0.59047,0.18431,-0.46076,0.73311,-0.43889,-0.43624,-0.00735,0.54944
2001-jan,ensmean,200102,-0.02861,0.57435,0.85069,0.91841,1.03261,-0.24477,-0.23721,0.04419,-0.30293,-0.53586
2001-feb,ensmean,200103,1.10898,0.75878,0.10667,-0.10801,0.24496,0.38546,0.33789,-0.63003,0.37881,-0.25660
2002-jan,ensmean,200202,0.54220,-0.19738,0.05828,0.42188,0.81957,0.76760,0.08730,-0.55172,-0.06576,-0.11299
2002-feb,ensmean,200203,-1.10383,-1.11494,-0.55491,-0.33301,-0.21813,-0.12757,-0.19642,0.64131,-0.14158,0.45881
2003-jan,ensmean,200302,-0.76690,-1.82081,-0.61142,-0.07083,-0.62182,0.18257,0.57661,0.32985,0.63834,-0.15339
2003-feb,ensmean,200303,-0.50910,-1.04065,0.31750,0.01740,0.37409,-0.48753,-0.13890,0.32464,0.35685,0.27710
2004-jan,ensmean,200402,-0.40380,-0.40395,-0.09956,1.18661,0.44705,0.30780,-0.26478,-0.07944,0.54979,-0.26343
2004-feb,ensmean,200403,-0.58696,-0.76432,-0.48958,0.05111,0.57648,-0.52280,0.85966,0.05349,0.31018,-0.37546
2005-jan,ensmean,200502,-0.19630,-0.55059,-0.39657,0.02584,0.51551,-0.11572,0.18510,0.54207,-0.56457,0.23329
2005-feb,ensmean,200503,-0.16051,0.17158,-0.29636,-0.36032,-0.34465,-0.00859,0.45149,-0.28565,0.08603,0.24602
2006-jan,ensmean,200602,-0.21132,-0.70721,0.13186,0.21295,0.09117,-0.39437,0.13532,0.09506,0.85568,0.78222
2006-feb,ensmean,200603,-0.23777,0.65446,0.25771,0.58647,-0.46747,-0.64231,0.20573,0.27212,-0.30304,-0.46891
2007-jan,ensmean,200702,-1.29253,-0.95310,0.17281,0.75155,-0.25592,-0.73733,-0.12400,0.52037,0.04191,-0.56723
2007-feb,ensmean,200703,0.48736,0.04605,0.06197,-0.89350,-0.01041,0.60436,0.27605,-0.31060,0.64482,0.53632
2008-jan,ensmean,200802,0.39071,1.44639,0.91336,-0.22761,0.21015,-0.34689,0.37525,0.20098,0.48248,0.57496
2008-feb,ensmean,200803,0.93157,0.85490,0.49969,-0.50161,0.55908,0.29478,-0.04930,-0.09800,0.25021,0.29533
2009-jan,ensmean,200902,0.63099,0.80361,-0.03460,-0.29638,-0.18894,0.15863,0.47494,-1.58894,-0.50162,0.62620
2009-feb,ensmean,200903,-0.78329,0.32663,0.09034,-0.15644,-0.37601,-0.35946,0.25874,0.36179,-0.03735,0.02285
2010-jan,ensmean,201002,-1.05619,-0.90796,-0.20370,0.56435,-0.51472,0.32206,0.26602,-0.07315,-0.03108,-0.62714
2010-feb,ensmean,201003,-1.32406,-1.59432,0.12107,0.48723,0.52423,-0.15714,-1.02814,1.02878,0.10961,-0.60764
2011-jan,ensmean,201102,-0.22075,-0.20912,0.49119,0.07684,-0.15115,0.18781,0.75020,-0.51023,1.09364,1.04081
2011-feb,ensmean,201103,-0.15861,0.29939,1.00330,0.32831,0.69922,-0.41375,0.38309,0.01935,0.63559,0.37056
2012-jan,ensmean,201202,0.52971,0.91021,0.75071,-0.37559,0.32492,0.10897,-0.00537,0.16738,0.41921,-0.18710
2012-feb,ensmean,201203,-0.15929,0.65638,0.41234,0.60573,-0.41692,-0.36393,0.14833,0.04256,0.58703,-0.68952
2013-jan,ensmean,201302,-0.47355,-0.43188,-0.03761,-0.02537,0.26640,-0.07707,-1.30628,0.47666,-0.76731,-0.50467
2013-feb,ensmean,201303,-0.78469,0.33340,-0.08752,0.13404,-0.38089,-0.29976,-0.19268,0.00193,-0.63034,-0.20866
2014-jan,ensmean,201402,0.46994,0.05386,0.77326,0.19126,0.48631,-0.01721,-0.74663,0.17056,-0.27708,-0.89063
2014-feb,ensmean,201403,0.82843,0.67314,0.97753,-0.25534,0.10070,0.17760,0.55846,-0.04077,0.55190,0.01524
2015-jan,ensmean,201502,-0.91822,-1.38293,-0.54631,-0.36819,-0.27181,-0.30418,0.05467,0.74113,0.01501,-0.50021
2015-feb,ensmean,201503,-0.49574,-0.83247,0.12028,0.98937,0.83573,-0.65307,-0.30193,0.86304,0.06500,-1.04777
2016-jan,ensmean,201602,-0.20765,-0.66762,-0.47189,-0.54789,-0.18817,0.54029,-0.46513,0.30269,-1.68426,-1.38799
2016-feb,ensmean,201603,-0.75167,-1.84385,-1.27770,-0.73312,-0.37684,-0.08297,-0.94660,1.13768,-1.41981,-1.52643
2017-jan,ensmean,201702,-0.06055,0.54780,-0.41053,-0.20843,-0.17373,-0.34349,0.37618,0.04972,-1.09107,-1.40764
2017-feb,ensmean,201703,0.17888,0.15014,0.10196,0.22036,0.22387,0.25786,-0.93699,-0.40325,-1.30338,-1.07137
2018-jan,ensmean,201802,0.65665,-0.10204,-0.18831,-1.32316,0.12146,0.78673,-0.59414,0.06080,0.07553,-0.47103
2018-feb,ensmean,201803,0.33672,0.75843,0.63972,0.20632,0.02895,0.21804,-0.05582,-0.16577,-0.46218,-0.50344
2019-jan,ensmean,201902,-0.62006,-0.58349,-0.51026,0.01566,-0.04381,0.15430,0.05916,-0.10261,-0.32975,-0.61640
2019-feb,ensmean,201903,-0.12651,0.48284,-0.05602,-0.20288,0.01156,-0.58251,-0.22596,0.37027,-0.43778,-0.55034
2020-jan,ensmean,202002,0.85408,1.08331,-0.12011,0.37099,0.52788,0.10414,-0.35436,-0.16358,-0.92874,-1.35431
2020-feb,ensmean,202003,0.64268,1.01014,0.65115,-0.00242,0.29882,0.20714,0.08814,-0.62019,-0.64497,-0.50614
