init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-dec02,ens1,199201,-0.78613,-1.51896,-0.13118,-0.26798,-0.42441,-0.73470,-0.01400,0.61342,0.48829,0.65445
1991-dec07,ens1,199201,-0.24837,-1.37961,-0.69923,0.73119,-0.80877,1.03085,-0.21757,-1.33864,0.24576,0.03949
1991-dec12,ens1,199201,0.65048,-0.33749,-1.41292,-1.13911,-0.47764,0.83431,0.96934,-0.55112,0.62109,2.14155
1991-dec17,ens1,199201,-0.23816,0.60237,0.55516,0.34069,-0.38851,-0.79284,0.16814,0.17211,-0.63046,1.31067
1991-dec22,ens1,199201,-0.33602,-0.46839,-0.65162,-0.15694,-0.54926,-0.16378,2.05629,0.11225,0.68519,1.12940
1991-dec27,ens1,199201,0.02005,-0.94646,-0.07075,0.04028,-0.53266,0.22757,1.31294,0.07605,1.18741,0.80836
1991-jan16,ens1,199102,-1.61740,-1.18724,-0.19986,0.02196,-1.11304,0.72098,1.28383,-0.08329,1.84603,0.93743
1991-jan21,ens1,199102,-1.29770,-0.81908,0.60079,0.77108,-1.16838,0.26086,0.08931,-0.71117,0.05805,0.69970
1991-jan26,ens1,199102,-0.72139,-1.96249,-0.17849,-0.00615,-1.42331,1.60317,0.54061,-2.28178,0.30970,1.77130
1991-jan31,ens1,199102,-1.19386,-0.39899,-1.22986,-0.56122,-1.58897,-2.35925,1.22675,0.09798,0.77705,0.93080
1991-feb10,ens1,199103,0.04745,0.17409,0.16256,1.04020,0.64623,-0.60944,2.11390,-0.43188,0.54864,-0.86251
1991-feb15,ens1,199103,-0.20029,0.15711,-0.71756,0.73443,0.05318,-0.85927,0.53606,-0.42369,-0.18192,-0.55128
1991-feb20,ens1,199103,0.56221,-0.26921,-0.57847,0.80465,0.25822,0.33303,-0.30062,-0.72161,0.61962,0.56591
1991-feb25,ens1,199103,-0.72908,-1.57611,-0.28377,0.53365,0.49292,-0.12610,0.95992,-1.10703,1.28117,0.66052
1992-dec02,ens1,199301,0.41503,-0.94064,-0.62002,-0.34580,-0.33745,0.04871,0.08358,0.18430,0.41238,0.32860
1992-dec07,ens1,199301,-0.35614,-0.41267,0.34216,-1.35676,-0.93233,-0.90669,0.68370,1.44594,1.79096,2.63278
1992-dec12,ens1,199301,0.12855,-0.06654,0.47483,0.59227,-0.23759,0.14519,0.54614,-0.76030,1.13554,1.16235
1992-dec17,ens1,199301,0.66695,-0.52938,0.40861,-0.72626,0.35572,0.77641,-1.28586,0.01281,0.30752,2.30904
1992-dec22,ens1,199301,1.10565,1.25393,0.12180,-0.30259,-0.67689,0.71782,0.76552,-0.92936,-0.71373,1.79606
1992-dec27,ens1,199301,2.03695,1.92695,0.75700,1.45514,0.40853,0.24261,0.35999,-0.94182,0.31955,0.32737
1992-jan16,ens1,199202,0.09378,-0.99853,-0.36441,0.30357,-1.52098,2.10642,-0.58250,-2.17409,1.14045,1.61049
1992-jan21,ens1,199202,-0.05264,-0.78129,-1.33132,-0.15179,-1.17605,-0.25224,1.55260,-0.98507,0.37442,2.05442
1992-jan26,ens1,199202,0.32136,-0.67665,-1.46285,-1.12586,-1.83982,1.33762,0.18472,-0.27667,1.07241,1.81257
1992-jan31,ens1,199202,0.23674,-0.37696,-0.36472,-1.21115,-1.15840,1.19130,-0.47359,-1.17610,-0.42011,3.57462
1992-feb10,ens1,199203,0.09643,-2.16297,-1.37447,0.41543,-0.80162,0.62882,-0.27360,-0.11773,0.46341,0.43081
1992-feb15,ens1,199203,-0.58847,-1.58633,-0.54174,0.13897,-0.85396,-0.60996,0.74021,0.31515,1.66128,-0.13532
1992-feb20,ens1,199203,-0.78926,-1.70955,-0.73539,-0.38672,0.05012,1.00032,1.54225,0.08849,1.05332,1.58576
