init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun,ensmean,199107,1.22862,1.31012,0.94089,-1.55305,0.11796,-0.30878,-0.31381,0.85725,-0.46788,1.52092
1992-jun,ensmean,199207,0.98154,1.97187,2.13856,-2.58832,-1.81095,-1.53291,-0.38236,0.54800,-2.33878,0.82747
1993-jun,ensmean,199307,0.81294,1.58305,1.43860,-2.23580,-0.99332,-0.67123,-0.03660,0.41037,-1.56709,1.27947
1994-jun,ensmean,199407,0.80930,1.28928,0.85454,-1.68891,-0.97118,-0.16263,-0.72595,0.51129,-0.95694,0.40047
1995-jun,ensmean,199507,0.71213,0.99118,0.43916,-0.79322,-1.00349,-0.88323,-0.70016,0.18789,-0.80938,0.67835
1996-jun,ensmean,199607,0.32165,1.53392,0.69088,-1.36240,0.02660,-0.76741,-0.19670,1.25440,-0.76201,0.35833
1997-jun,ensmean,199707,0.29174,1.08459,0.69116,-1.25951,-0.42449,0.40005,0.40160,0.07467,-0.66827,-0.01020
1998-jun,ensmean,199807,-0.10096,-0.42626,-0.87266,1.19378,-0.05028,0.04079,-0.79563,0.04492,0.35320,-0.16257
1999-jun,ensmean,199907,0.06281,0.66700,0.09521,0.20786,0.12468,-0.91868,-0.06912,-0.06108,0.02867,0.18254
2000-jun,ensmean,200007,0.33235,0.15730,0.05029,0.47225,0.40429,-0.21094,-0.40353,0.06561,0.44767,0.16313
2001-jun,ensmean,200107,0.08673,0.23956,0.75423,0.08122,-0.53765,-0.60400,0.06987,-0.12654,-0.31524,0.01998
2002-jun,ensmean,200207,0.20688,-0.15386,-0.13931,-0.19597,0.15894,0.22476,0.86131,0.45791,0.01065,0.10082
2003-jun,ensmean,200307,0.20614,-0.19787,-0.06342,0.54624,0.52236,0.19661,-0.04112,-0.21578,0.74098,-0.31573
2004-jun,ensmean,200407,0.06074,0.10190,0.08201,-0.09954,-0.14874,0.39927,0.30898,0.44310,-0.21813,-0.56497
2005-jun,ensmean,200507,0.17538,-0.86274,-0.37500,0.43414,0.59860,0.53725,-0.33193,-0.14040,-0.38315,-0.19325
2006-jun,ensmean,200607,-0.74651,0.08513,-0.77755,0.45199,0.08451,-0.62286,0.31025,0.07147,-0.11428,-0.39342
2007-jun,ensmean,200707,-0.14420,-0.45455,0.12380,0.65013,-0.25486,0.07277,1.07691,-0.20865,0.28156,-0.74543
2008-jun,ensmean,200807,0.05243,0.08234,-0.12557,0.23475,0.16237,0.04374,-0.72387,0.41220,0.27315,-0.66516
2009-jun,ensmean,200907,0.22095,0.36786,0.01670,-0.65968,0.78765,0.22224,-0.53269,0.45670,0.17597,0.52910
2010-jun,ensmean,201007,-0.50298,-0.85179,-0.38128,0.79806,0.03902,0.74430,0.73476,-0.83772,0.65446,-0.20808
2011-jun,ensmean,201107,-0.57203,-0.68629,-0.09468,0.33801,-0.19118,0.29525,-0.23172,-0.20372,0.13225,-0.67321
2012-jun,ensmean,201207,0.00532,-0.19196,-0.17703,0.15238,0.83627,0.68772,-0.56918,0.34058,-0.07459,-0.08411
2013-jun,ensmean,201307,-0.16532,-0.69740,-0.58476,0.89004,0.64784,0.16293,0.08167,-0.64042,0.75446,-0.17956
2014-jun,ensmean,201407,-0.24785,-0.50189,-0.65664,0.18931,-0.12767,0.13950,-0.17449,0.06450,0.27071,0.08138
2015-jun,ensmean,201507,-0.47639,-1.28570,-0.68405,0.60384,1.03663,0.50312,0.20906,-0.98451,0.61619,-0.38942
2016-jun,ensmean,201607,-0.79453,-1.44021,-0.84802,1.37573,-0.11597,0.13039,0.93705,-0.87030,0.75089,-0.72792
2017-jun,ensmean,201707,-0.94986,-0.70053,-0.65344,1.21864,-0.11200,0.08820,0.45061,-0.46224,0.66474,0.06785
2018-jun,ensmean,201807,-0.62802,-0.81973,-0.61971,1.33481,0.13933,0.09746,0.20961,-0.38423,0.96081,-0.30905
2019-jun,ensmean,201907,-0.64601,-0.92479,-0.60004,0.23651,0.35417,0.63595,0.31394,-0.37034,0.50931,0.18516
2020-jun,ensmean,202007,-0.59295,-1.26955,-0.66287,1.02671,0.70056,1.06037,0.26328,-0.69492,1.05007,-0.77288
