init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jan,ensmean,199102,0.73827,1.55884,0.31832,0.32215,0.11484,0.42116,0.51797,0.05252,0.43203,-1.01418
1991-feb,ensmean,199103,-0.34746,-0.60654,-0.71998,-0.24838,-0.21159,-0.48038,0.08737,0.06166,0.11111,-0.69174
1992-jan,ensmean,199202,-0.01133,0.32011,-0.60837,-0.41240,0.94028,-0.22896,0.32349,-0.48182,-0.91531,-0.19766
1992-feb,ensmean,199203,-1.15301,-1.99750,0.10825,0.50374,0.11915,-0.56240,0.06527,0.10431,1.06285,0.36992
1993-jan,ensmean,199302,0.50568,-0.25985,0.72885,-0.77048,-0.39415,-0.07197,-0.81131,-0.05806,-0.74306,-0.75917
1993-feb,ensmean,199303,0.04082,-0.51159,-0.01795,0.13400,0.42115,-0.52011,-0.20101,-0.92682,0.10732,0.53943
1994-jan,ensmean,199402,0.51589,-0.03823,0.40236,0.47344,-1.09596,-0.11698,-0.05428,0.55812,0.92503,0.88276
1994-feb,ensmean,199403,1.56292,2.02779,-0.03976,-1.23297,0.56737,0.16529,-0.00692,-0.89172,-0.72373,-1.68657
1995-jan,ensmean,199502,0.30837,-0.52284,-0.14143,-0.27087,0.06539,-0.07595,-0.74966,-0.71668,-0.28776,0.13564
1995-feb,ensmean,199503,0.04754,0.05877,-0.08977,-0.16677,-0.47550,-0.08742,0.16858,-0.49162,-0.25933,0.36820
1996-jan,ensmean,199602,0.79723,1.70308,-0.19630,0.59570,-0.79331,0.56015,0.52347,0.83201,0.74855,0.03045
1996-feb,ensmean,199603,0.98773,0.96346,0.54295,-0.64823,0.16081,0.13784,-0.28861,0.01988,0.07084,-1.08930
1997-jan,ensmean,199702,0.02378,-0.02076,0.10612,-0.07728,0.23776,-0.07126,0.27159,-0.87065,-0.15768,-0.36167
1997-feb,ensmean,199703,0.51116,0.06405,0.03569,0.30096,-0.78370,0.07947,-0.24025,0.48386,-0.11010,-0.59004
1998-jan,ensmean,199802,-1.28823,-1.81880,-0.16660,0.15498,1.42702,-1.11761,-0.28635,-1.25929,-0.73752,0.47194
1998-feb,ensmean,199803,-0.80898,-1.43956,0.52142,-0.04089,0.99946,-1.83026,-0.77007,-1.57449,-1.14785,0.21591
1999-jan,ensmean,199902,-0.58367,0.25161,0.55362,0.29214,0.51467,-0.27530,0.78575,-0.28031,0.51884,0.79244
1999-feb,ensmean,199903,0.80932,1.17772,0.18073,-0.52822,-0.10165,0.61608,-0.41830,-0.08371,-0.32517,-0.92092
2000-jan,ensmean,200002,1.12187,2.18152,0.53211,-0.19773,0.84182,1.55862,0.52437,-0.90424,-0.03920,-0.80626
2000-feb,ensmean,200003,1.21266,0.77812,-0.31607,-0.44863,0.40364,0.79813,-0.95412,-0.23345,0.11746,0.05840
2001-jan,ensmean,200102,-0.10093,0.54682,-1.02841,-0.25923,-0.87250,0.66990,0.16441,1.22034,-0.26830,0.58629
2001-feb,ensmean,200103,1.13395,0.68096,0.08747,-0.68221,-0.08343,0.04252,-0.22232,-0.01091,0.38547,-0.40759
2002-jan,ensmean,200202,0.60089,-0.08296,-0.21939,-0.83731,-0.70266,-0.11317,-0.73022,0.39562,-0.05187,-0.77365
2002-feb,ensmean,200203,-1.03183,-1.09234,0.41551,0.46453,0.15318,-0.60198,-0.13680,-0.37589,-0.39477,0.10870
2003-jan,ensmean,200302,-0.72987,-1.79374,0.37794,0.08954,0.63018,-0.91138,-0.09292,0.06911,0.39995,-0.23645
2003-feb,ensmean,200303,-0.51840,-1.06701,0.19506,0.38460,-0.50434,0.29780,0.33228,0.35117,0.41949,0.40831
2004-jan,ensmean,200402,-0.32297,-0.18558,-1.12248,-0.33704,-0.54413,-0.28981,-0.45232,0.18016,0.63955,-0.07551
2004-feb,ensmean,200403,-0.52161,-0.65396,0.10292,-0.07876,-0.40038,-0.88630,0.74339,0.30707,0.21872,-0.55072
2005-jan,ensmean,200502,-0.27255,-0.51578,-0.04252,0.57190,-0.46824,-0.61976,0.18804,0.15065,-0.56400,-0.39717
2005-feb,ensmean,200503,-0.13837,0.13927,0.41758,-0.11938,0.41537,-0.32714,0.10944,-0.38741,-0.06584,-0.36705
2006-jan,ensmean,200602,-0.16810,-0.65267,-0.11094,0.13021,-0.19640,0.17633,0.31474,-0.00471,0.59268,-0.24072
2006-feb,ensmean,200603,-0.16989,0.68693,-0.55984,0.35027,0.57123,0.32834,0.65449,0.13751,-0.17287,0.35391
2007-jan,ensmean,200702,-1.32858,-0.97813,-0.61150,0.29261,0.34887,-0.01702,0.50958,0.41095,-0.21212,0.61393
2007-feb,ensmean,200703,0.51841,-0.01111,1.02092,-0.17872,0.01829,0.17375,-0.35094,-0.28895,0.74365,-0.99328
2008-jan,ensmean,200802,0.40913,1.31582,0.22783,0.45546,-0.18068,1.03861,0.34673,0.24966,0.73692,-0.27796
2008-feb,ensmean,200803,0.88632,0.69310,0.35694,-0.06902,-0.57402,0.63377,-0.27784,0.20065,0.47062,-0.10903
2009-jan,ensmean,200902,0.65453,0.74535,0.18916,-1.20985,0.25471,0.24902,0.28971,-0.78952,-0.28104,-0.90893
2009-feb,ensmean,200903,-0.71669,0.39518,0.17458,0.13617,0.44905,0.09357,0.15683,-0.13305,-0.25325,0.21793
2010-jan,ensmean,201002,-1.10940,-0.78602,-0.44440,-0.13303,0.52814,-0.31999,-0.10999,0.44853,0.18022,0.03476
2010-feb,ensmean,201003,-1.37545,-1.48464,-0.32315,0.81557,-0.61202,-0.09053,-0.13808,0.74920,0.35177,0.96119
2011-jan,ensmean,201102,-0.21199,-0.25684,0.14908,-0.47153,0.13122,0.41711,-0.11107,0.26505,1.05117,-0.79876
2011-feb,ensmean,201103,-0.29481,0.24114,-0.27148,0.00431,-0.69889,0.93891,0.51865,1.06414,0.80075,-0.28381
2012-jan,ensmean,201202,0.40548,0.70323,0.33642,0.19725,-0.30340,0.73129,-0.10282,0.75436,0.70017,0.25396
2012-feb,ensmean,201203,-0.05958,0.55081,-0.74639,-0.02709,0.46301,0.35528,0.31561,0.34670,0.81929,0.69222
2013-jan,ensmean,201302,-0.54081,-0.33340,-0.24619,0.44400,-0.40660,0.10180,-0.15055,-0.17469,-0.65179,1.40964
2013-feb,ensmean,201303,-0.89435,0.37472,-0.16282,0.13082,0.47472,0.07685,0.36509,-0.47466,-0.61555,0.09208
2014-jan,ensmean,201402,0.38604,-0.03503,-0.30547,0.06014,-0.44048,0.88115,-0.15285,0.78840,0.20515,0.97115
2014-feb,ensmean,201403,0.57070,0.44070,0.33915,-0.06111,0.00468,0.92833,0.02498,0.79697,0.94778,-0.27906
2015-jan,ensmean,201502,-0.81954,-1.33789,0.45942,0.66876,0.18994,-0.72660,0.20617,0.01084,0.01328,0.04568
2015-feb,ensmean,201503,-0.54034,-0.82147,-0.97311,0.80852,-0.78785,-0.44791,0.52647,1.04580,0.30051,0.99027
2016-jan,ensmean,201602,0.04258,-0.56051,0.41753,0.33579,0.12192,-0.34474,-0.58118,-0.23007,-1.03408,0.00089
2016-feb,ensmean,201603,-0.54238,-1.81248,0.56403,1.14618,0.29445,-1.46966,-0.15441,-0.53117,-1.12237,1.28550
2017-jan,ensmean,201702,0.06181,0.47115,0.11598,0.17739,0.45824,-0.53058,0.36262,-0.06289,-0.99919,0.10018
2017-feb,ensmean,201703,0.15339,0.12695,-0.48023,-0.61742,-0.12738,0.26028,-0.42403,0.07239,-1.28025,0.86991
