init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun,ensmean,199107,-0.40601,-0.54058,-0.87938,-0.53243,-1.05923,-0.48289,-1.25019,-0.55825,-0.44133,0.78447
1992-jun,ensmean,199207,1.08834,0.69140,-0.06956,-1.04334,-0.89998,-0.44618,-1.74571,-0.04509,-1.68189,-0.68958
1993-jun,ensmean,199307,0.63914,-0.04977,-0.11738,-0.59414,-1.00157,-0.32006,-1.96980,-0.37994,-1.16673,0.22652
1994-jun,ensmean,199407,0.31646,-0.27781,-0.34137,-0.45347,-0.77057,-0.37860,-1.42958,0.33295,-0.87904,-0.42063
1995-jun,ensmean,199507,0.19131,0.41436,-0.31520,0.12612,-0.75925,-0.13858,-0.49935,0.59406,-0.47944,-0.03100
1996-jun,ensmean,199607,-0.27729,0.05614,0.12798,-0.34182,-1.01728,-1.16720,-1.02875,-0.32353,-0.47493,-0.20332
1997-jun,ensmean,199707,0.20299,-0.92135,0.04240,-0.54372,-0.48777,0.32011,-1.06133,-0.53851,-0.56144,-0.91105
1998-jun,ensmean,199807,-0.01465,0.33419,-0.10114,0.70321,-0.11528,-0.00874,0.99216,1.02271,0.04328,0.15907
1999-jun,ensmean,199907,-0.06103,0.62865,0.06818,0.07658,-0.67063,-0.08604,0.16479,-0.27938,0.07801,-0.25926
2000-jun,ensmean,200007,-0.32294,-0.09542,-0.20580,-0.09975,-0.14219,0.12800,0.40332,-0.06506,0.31222,0.11950
2001-jun,ensmean,200107,0.49299,0.42639,0.09162,-0.56795,0.01319,-0.01694,0.21008,-0.15084,-0.27893,-0.08683
2002-jun,ensmean,200207,0.15378,-0.27167,-0.19637,0.19204,0.38481,-0.36601,0.01534,-0.97911,0.15540,0.28280
2003-jun,ensmean,200307,-0.52359,-0.17486,-0.10036,-0.07815,0.40091,0.52826,0.52712,-0.24018,0.58267,0.29610
2004-jun,ensmean,200407,0.06438,-0.48768,-0.03136,-0.18029,0.12511,-0.36451,-0.03457,-0.27096,-0.28928,-0.40068
2005-jun,ensmean,200507,-0.37891,-0.05404,-0.39067,0.08557,0.57734,0.29982,0.25003,0.36409,-0.53038,0.15394
2006-jun,ensmean,200607,0.12566,0.79216,0.84238,0.94172,-0.05368,-0.59448,0.76728,-0.15834,0.18837,-0.20572
2007-jun,ensmean,200707,0.51801,-0.06703,-0.05499,-0.36783,0.31978,0.10516,0.45195,-0.67213,0.01342,-0.53106
2008-jun,ensmean,200807,-0.40939,0.00389,0.02498,0.15696,0.15342,-0.25724,0.37729,0.65291,0.27637,-0.66130
2009-jun,ensmean,200907,-0.86486,-0.52148,-0.15170,-0.09164,-0.31311,-0.35747,-0.84510,-0.19861,0.27835,0.39449
2010-jun,ensmean,201007,0.46936,-0.12143,0.20941,0.22454,0.41530,0.60523,0.47614,-0.10364,0.32015,0.02238
2011-jun,ensmean,201107,0.20261,0.18776,0.41073,-0.14189,0.74191,0.12060,0.14343,0.70660,0.03010,-0.08987
2012-jun,ensmean,201207,-0.94182,-0.73439,-0.27224,-0.27393,0.02666,-0.13056,-0.07804,0.43233,-0.14171,0.17389
2013-jun,ensmean,201307,-0.36182,-0.09514,-0.16056,0.19556,0.42991,0.80117,0.74908,0.03495,0.58450,0.27474
2014-jun,ensmean,201407,0.11956,0.26716,0.05872,0.70890,0.19720,-0.28486,0.42934,0.64426,0.30018,0.39966
2015-jun,ensmean,201507,-0.40325,0.11323,0.10735,0.32130,0.90662,0.65357,0.51603,-0.11930,0.62695,0.03971
2016-jun,ensmean,201607,0.50756,0.51722,0.43515,0.58267,1.12851,0.60810,1.25179,-0.23298,0.74456,0.05360
2017-jun,ensmean,201707,0.22502,0.24951,0.55367,0.37478,0.08913,0.11496,0.73180,-0.01190,0.57925,0.50565
2018-jun,ensmean,201807,0.02193,0.34418,0.24365,0.27207,0.29144,0.36039,0.97919,0.22689,0.77091,0.26224
2019-jun,ensmean,201907,-0.09589,-0.25087,0.21513,0.25737,0.47463,0.28307,-0.11674,-0.01981,0.43946,0.57743
2020-jun,ensmean,202007,-0.27767,-0.36273,-0.04327,0.09098,0.61468,0.47192,0.62301,0.33582,0.60094,-0.23588
