init,member,verifying,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
1991-jun15,ens1,199107,-0.16632,-0.38600,-0.04397,-0.01509,-1.61785,0.15841,-0.32419,-2.05673,-0.32591,-0.70852
1991-jun20,ens1,199107,-1.15693,0.33264,-0.92888,-0.31386,-0.43424,-0.55344,-0.15067,0.06787,-0.15252,0.35287
1991-jun25,ens1,199107,-0.57618,0.15955,0.08602,1.15570,-0.38391,-1.49406,-0.51768,0.21807,-0.61922,1.17712
1991-jun30,ens1,199107,-1.57481,-1.36307,-0.83861,-0.77664,-0.24473,-1.56255,-2.27296,-0.49103,-1.45036,0.80289
1991-jul15,ens1,199108,0.54038,0.14371,-0.84152,-0.22741,-1.20445,-0.93721,-1.97145,-0.51942,-2.08013,1.62020
1991-jul20,ens1,199108,1.25563,1.51818,0.36693,-0.41206,0.33062,0.69017,-1.14955,0.09584,-0.85976,-0.54368
1991-jul25,ens1,199108,0.64510,1.03305,0.09955,0.23462,0.62282,1.07354,-0.16166,1.11494,-1.23432,-0.43252
1991-jul30,ens1,199108,0.16209,0.81878,-0.13509,-1.69900,0.04388,-0.23000,-0.87040,-0.15494,-0.13985,-1.39036
1991-aug14,ens1,199109,0.81409,-1.38664,-0.41255,0.45883,-0.73730,-0.75791,-1.90949,-0.86078,-3.79546,0.16859
1991-aug19,ens1,199109,0.75911,-0.13218,-0.00810,0.21260,-0.08997,-1.67453,-1.02976,-0.45302,-1.47944,-0.72452
1991-aug24,ens1,199109,0.73704,1.71600,-0.11414,0.00309,-0.66604,0.07398,-0.12285,-0.99540,-0.71272,-0.51874
1991-aug29,ens1,199109,0.09711,-0.43823,-0.96949,0.32276,-0.44914,0.34989,-1.22870,-0.25412,-1.20753,-0.75092
1992-jun15,ens1,199207,0.45011,0.21254,-0.21107,-0.65138,-0.77343,-0.43994,-2.59575,-0.85959,-1.35132,0.22174
1992-jun20,ens1,199207,1.43356,0.02440,-0.87571,-0.69656,-2.94136,-1.58688,-1.11475,-0.66402,-2.04229,0.63389
1992-jun25,ens1,199207,0.39480,-1.06553,-1.40068,-1.17318,-1.35669,-0.40205,-1.19183,-0.55433,-1.89982,0.20747
1992-jun30,ens1,199207,-1.07454,-2.00391,-2.10586,-1.69441,-2.13952,-1.70594,-2.14630,0.77516,-1.29314,-0.06480
1992-jul15,ens1,199208,1.09602,0.47409,0.24905,-1.18913,-1.55294,-0.66145,-1.08667,-1.87920,-0.48019,0.50200
1992-jul20,ens1,199208,1.86351,0.60102,-0.56354,-0.00897,-0.17983,-1.06186,-0.84602,-1.29331,-1.60350,-0.77675
1992-jul25,ens1,199208,1.32310,0.23815,-0.79528,-0.17771,0.16802,-1.87114,-1.37790,-0.72672,-0.78126,-0.56798
1992-jul30,ens1,199208,0.99119,1.22864,-1.24775,-0.01919,-0.26606,-0.64641,-1.58999,1.80734,-1.74799,0.49385
1992-aug14,ens1,199209,0.86293,-1.35392,-0.52027,-1.33079,-1.31948,-0.45785,-3.24909,0.70935,-1.81250,0.60437
1992-aug19,ens1,199209,-0.50894,-1.68039,-1.45838,-0.25518,-3.62306,-0.89020,-2.20428,3.19369,-1.31838,2.50064
1992-aug24,ens1,199209,1.42350,0.96652,-0.31414,0.18712,-0.39332,-0.56721,-0.42826,1.40353,-1.51699,-1.37897
1992-aug29,ens1,199209,0.43752,0.25947,-0.93771,-0.51701,0.21238,1.09382,-2.16406,1.13869,-2.30575,-0.83488
1993-jun15,ens1,199307,0.34930,-0.21918,-0.10992,0.08635,-1.27392,-0.97259,-0.83227,0.68367,-1.09132,-0.14997
1993-jun20,ens1,199307,-0.26130,-0.38363,-1.11338,-0.65856,-1.10850,-0.77532,-1.12764,2.18927,-1.63024,-0.21208
1993-jun25,ens1,199307,0.77624,0.53414,-0.22692,-0.13834,-1.00091,0.08155,-1.46296,-0.95120,-1.25501,-0.60430
1993-jun30,ens1,199307,-1.21899,-0.16634,-1.18718,-0.32362,-1.29408,0.07057,-1.37425,0.14576,-0.25763,0.27511
1993-jul15,ens1,199308,-0.34415,-0.88190,-1.42187,-1.61767,-1.24869,-0.26568,-2.16707,1.24915,-2.37347,-0.21686
1993-jul20,ens1,199308,-1.48321,-0.43576,-1.34245,0.26172,-0.21554,0.25469,-1.83150,1.93882,-1.02094,1.35034
1993-jul25,ens1,199308,0.94009,0.95031,0.95704,0.03765,-1.59928,0.74251,-1.85831,-0.15389,-1.36834,0.59073
1993-jul30,ens1,199308,0.72823,1.12695,-0.40350,-0.00962,-0.50754,1.81059,-0.12103,0.59134,-0.75919,-0.04995
1993-aug14,ens1,199309,-0.87234,0.25024,0.67076,-0.71627,-0.67929,-1.41390,-2.41699,-0.65570,-0.96003,-1.11207
1993-aug19,ens1,199309,1.54660,1.26457,0.02673,-0.85809,0.11423,0.79924,-1.11560,0.37944,-0.02984,-0.19799
1993-aug24,ens1,199309,0.49007,-0.32771,0.07755,-1.38292,-0.56922,-0.35674,-2.26273,1.11117,-0.01100,0.06457
1993-aug29,ens1,199309,-0.41086,-0.45032,-0.58744,-1.49065,-1.88521,-1.08093,-1.13818,1.63538,-0.74626,0.02503
1994-jun15,ens1,199407,1.52181,0.15367,-0.67586,-0.53342,-0.25637,-0.86826,-0.43531,1.16751,-1.16419,0.81272
1994-jun20,ens1,199407,0.71800,0.60353,-0.63915,-0.33768,-1.16379,-0.52522,-0.38414,1.35299,-0.93444,1.10427
1994-jun25,ens1,199407,0.38358,0.65010,0.37723,-1.34067,-0.81208,0.21566,-0.25210,0.27796,-0.28058,-1.14071
1994-jun30,ens1,199407,-0.33271,-0.25881,0.44119,0.16145,-1.00613,-0.88028,-0.16248,-0.21874,-0.47955,0.13868
1994-jul15,ens1,199408,2.18992,-0.11793,0.40713,-0.41425,0.14473,0.11900,-0.79816,-1.07780,-0.04994,-0.14525
1994-jul20,ens1,199408,0.35779,-0.62704,-1.12324,-1.08786,-1.52683,0.34082,-1.27904,0.51573,-1.37298,0.06889
1994-jul25,ens1,199408,0.38337,-0.24740,-0.38619,-0.73781,-1.68851,-0.31219,-0.27832,0.32364,-1.17494,0.28064
1994-jul30,ens1,199408,2.17958,1.29490,1.52922,0.62658,-1.42548,0.89252,-0.19887,-0.46929,-1.16926,2.16011
1994-aug14,ens1,199409,0.51907,0.32491,0.06448,-0.55604,0.02356,0.04489,-1.94431,-1.43364,0.68675,-0.77448
1994-aug19,ens1,199409,0.72760,0.92795,-1.05547,0.07989,0.22730,-0.09751,0.83525,-0.08367,-1.04868,0.00677
1994-aug24,ens1,199409,0.71725,0.20393,0.41508,-0.83282,-0.58633,0.88880,0.20743,0.91999,-0.02171,0.77302
1994-aug29,ens1,199409,1.39967,2.15624,0.03978,-0.39438,0.71496,1.38477,-0.87298,0.82233,-0.24733,0.17559
1995-jun15,ens1,199507,0.11931,-0.19624,-0.04837,-0.55560,-0.26867,-0.25582,-1.04496,-0.21762,-0.14248,0.11090
