init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260101,ens1,202601,DJF,0.26264,0.76718,-0.72350,-0.22630,-1.05184,1.13343,-0.63903,1.84490,0.71848,0.00375
20260101,ens1,202602,DJF,0.37994,0.21945,0.72069,0.89336,-0.82968,1.84738,0.93877,0.93501,1.65759,0.95190
20260101,ens1,202603,MAM,0.45798,-0.65505,0.46427,-0.41321,-0.50718,-1.06605,0.01938,0.35233,-0.13641,0.07707
20260101,ens2,202601,DJF,0.80791,0.81586,-0.13902,-1.33109,-0.94895,0.70152,-1.67384,0.37968,-0.88668,-0.47159
20260101,ens2,202602,DJF,0.72699,-1.51078,0.79337,-0.25209,-0.45526,-0.41961,-1.25422,0.38792,-0.00773,0.09882
20260101,ens2,202603,MAM,-0.49384,0.11162,-0.68153,-2.17969,-1.01990,-0.85605,-0.44992,-1.57107,0.78839,0.19914
20260101,ens2,202604,MAM,0.54225,0.44089,-0.06990,-0.29471,0.55640,0.73460,1.67958,-1.57793,-2.91664,-2.51162
20260101,ens2,202605,MAM,1.03083,-0.91824,-0.73531,1.03741,1.47151,0.15226,0.13107,-1.11130,-1.63462,-0.39776
20260101,ens2,202606,JJA,0.88943,0.59763,0.48363,0.21239,1.29491,0.62378,0.82627,0.50869,0.78521,1.16357
20260101,ens2,202607,JJA,-1.28073,-0.65634,0.14017,-0.67493,0.78462,0.50865,1.67500,-0.06099,1.47927,0.10738
20260101,ens2,202608,JJA,0.23214,1.35263,1.80662,0.64497,2.32942,1.20610,1.95547,-0.77977,1.42115,1.19141
20260101,ens2,202609,SON,-0.78409,-0.17193,-0.49189,-0.17967,-1.29351,-1.54406,-0.28286,0.33572,1.09373,0.31136
20260101,ens3,202601,DJF,0.21920,0.59976,-0.71854,-0.34428,-1.05709,0.56880,0.33032,1.62831,0.27971,-0.50708
20260101,ens3,202602,DJF,0.93748,0.74392,0.97560,-0.48311,0.26870,0.07891,-0.00823,-0.87569,-1.74297,0.39261
20260101,ens3,202603,MAM,0.87746,0.83701,0.27514,-0.18961,0.22581,-0.54132,-0.17097,0.63205,-0.44373,0.25485
20260101,ens4,202601,DJF,-0.02380,1.66182,-0.08864,0.59487,-0.06986,1.33437,0.06197,0.51154,-1.20390,0.14039
20260101,ens4,202602,DJF,0.91935,0.03641,0.80207,-0.22049,-0.61591,0.25373,-0.09431,0.97298,0.05301,0.26135
20260101,ens4,202603,MAM,-0.55077,0.81030,-1.27782,-2.14077,-0.15247,-0.21627,0.13278,-0.60963,0.37173,1.22178
20260101,ens5,202601,DJF,0.14568,0.81884,-1.04628,-0.52296,-1.48679,1.56824,-0.21734,1.61161,-0.21925,0.78233
20260101,ens5,202602,DJF,-0.76936,0.30777,0.52257,1.45270,0.53686,1.61032,0.49973,-0.63463,0.89874,1.14015
20260101,ens5,202603,MAM,0.85238,-1.36326,0.25829,0.69493,0.46655,0.63017,-1.01358,1.09583,0.27218,-0.93689
20260106,ens1,202601,DJF,0.05522,-0.05612,-1.00526,0.04504,-1.04436,0.96644,0.41896,0.98668,-0.13642,1.01533
20260106,ens1,202602,DJF,1.27069,2.04376,-1.10137,-2.16446,0.41424,0.46136,-0.70621,0.42082,-1.03595,-0.32731
20260106,ens1,202603,MAM,-1.50226,1.40966,-0.52004,-0.66554,-2.02933,0.97232,-0.04051,0.43702,-0.41197,-1.86443
20260106,ens2,202601,DJF,-0.45062,1.13743,-1.07107,0.17258,-1.14325,0.26989,-0.03128,0.25440,-2.23679,0.45943
