init,member,verifying,patterns,REOF1,REOF2,REOF3,REOF4,REOF5,REOF6,REOF7,REOF8,REOF9,REOF10
20260605,ens1,202606,JJA,1.11890,1.92771,0.87612,1.18576,3.39537,2.55803,2.44883,1.06484,1.64504,0.47915
20260605,ens1,202607,JJA,0.15350,2.31226,1.35007,2.55415,0.96523,1.41087,3.24481,1.26875,1.83150,0.54448
20260605,ens1,202608,JJA,1.22658,-0.04022,1.21292,0.57939,0.81910,-0.87915,1.48115,-1.84643,1.54910,0.89996
20260605,ens1,202609,SON,-0.11814,-0.30734,-0.55090,-0.65543,-1.40416,-0.47080,-0.66032,-0.26588,1.24190,-0.20456
20260605,ens1,202610,SON,-0.26888,0.23689,-0.30362,-0.66740,0.50286,0.27681,-2.22918,1.40913,0.13703,-0.58825
20260605,ens1,202611,SON,-0.13550,-0.25612,-2.08777,0.47815,-0.51884,-2.64338,-0.85452,0.55204,-1.02856,-0.57315
20260605,ens1,202612,DJF,1.17440,1.56981,-0.10677,-0.72842,-0.08796,-0.53780,-0.34645,-0.38109,-1.26041,-1.61299
20260605,ens1,202701,DJF,-0.13732,0.38878,-0.88662,0.58588,-0.00166,0.32748,3.43063,0.76525,-1.45940,0.42341
20260605,ens1,202702,DJF,-1.48804,-0.29092,-0.29126,0.96565,-0.15861,-0.63278,1.85883,1.73743,-1.69346,2.91729
20260605,ens2,202606,JJA,1.14835,1.41730,0.73818,0.55736,3.60035,4.28472,2.23163,0.39251,1.90768,0.31251
20260605,ens2,202607,JJA,-0.57280,0.20976,0.55003,1.00193,2.49257,1.46887,2.41371,-0.15828,1.95508,-0.57597
20260605,ens2,202608,JJA,-0.77767,-1.18974,0.97736,0.79977,1.14342,0.11220,0.83423,-0.26646,1.63157,3.03477
20260605,ens3,202606,JJA,0.02489,2.06385,0.48809,2.02258,2.87651,1.67858,2.49195,1.41015,1.72201,-0.45063
20260605,ens3,202607,JJA,0.00844,0.09359,1.82347,1.09676,2.11710,-0.70300,1.15514,0.24521,1.69042,1.11343
20260605,ens3,202608,JJA,0.38073,0.77899,0.76379,1.30802,1.53960,-0.49458,1.15154,-0.70973,1.07400,1.27910
20260605,ens4,202606,JJA,0.36946,2.21644,0.91923,1.67541,3.28172,1.95728,2.30305,-0.31162,2.67549,-0.35146
20260605,ens4,202607,JJA,-0.61891,-1.18231,-0.56822,-0.42429,1.43375,1.08405,1.36496,0.08447,0.97020,-0.32839
20260605,ens4,202608,JJA,-0.60632,0.22197,0.12263,1.04280,2.58676,0.65241,1.55561,-0.96802,1.39805,-0.83067
20260605,ens5,202606,JJA,-0.24416,2.92022,1.27890,0.69830,3.20878,1.24676,1.79998,1.21887,2.43959,-0.58666
20260605,ens5,202607,JJA,0.33290,0.23093,0.55702,0.35670,1.69045,0.67248,1.91460,-0.26137,1.47179,0.55616
20260605,ens5,202608,JJA,-0.94432,-0.00174,0.88562,1.21654,1.16114,-1.17035,2.38310,0.65456,1.43393,0.56674
20260605,ens5,202609,SON,0.02691,0.88518,-0.85297,0.45693,-0.37118,0.05224,-0.15598,-0.02527,0.83517,-0.24503
20260605,ens5,202610,SON,0.40398,-1.29719,-0.04709,-0.70775,-1.25568,-0.80358,-0.23269,0.38355,1.66468,-0.74237
20260605,ens5,202611,SON,-0.83931,-0.65593,1.42159,-0.69839,0.50715,-1.48630,-1.16038,2.98156,-0.03622,-0.10401
20260605,ens5,202612,DJF,0.10922,-0.00740,-1.35127,0.43844,-1.79088,0.50398,-0.40289,0.83084,-0.22982,0.35711
20260605,ens5,202701,DJF,-3.04824,-0.99053,-0.43744,1.84403,0.81418,-1.01995,1.01714,1.48466,0.67408,1.10349
20260605,ens5,202702,DJF,-1.76115,-2.34868,1.18811,2.15624,1.35076,-0.30512,0.90061,0.11992,1.24047,1.10715
20260610,ens1,202606,JJA,-0.94792,0.96143,-0.52694,0.83066,2.57210,1.70457,2.06880,2.05594,3.39645,1.18773
20260610,ens1,202607,JJA,-0.61632,-0.37758,-0.53140,0.73963,1.79360,0.73002,1.24387,-0.33502,0.84636,-0.17884
20260610,ens1,202608,JJA,-1.37888,0.23002,0.16571,0.47096,3.07232,0.95385,2.04482,1.34307,1.98392,-0.96430
20260610,ens2,202606,JJA,-0.50539,0.54790,-0.39109,1.47700,2.65984,1.55902,2.25932,0.78453,2.63305,3.01393
