init,member,verifying,nino34_anom_K
20260605,ens1,202607,1.8522
20260605,ens1,202608,1.9155
20260605,ens1,202609,2.0596
20260605,ens1,202610,2.2258
20260605,ens1,202611,2.4124
20260605,ens1,202612,2.4699
20260605,ens1,202701,2.4929
20260605,ens1,202702,2.5574
20260605,ens2,202607,1.8640
20260605,ens2,202608,2.1300
20260605,ens3,202607,2.0141
20260605,ens3,202608,2.1227
20260605,ens4,202607,1.9633
20260605,ens4,202608,2.2345
20260605,ens5,202607,1.9575
20260605,ens5,202608,2.2713
20260605,ens5,202609,2.4695
20260605,ens5,202610,2.6772
20260605,ens5,202611,2.7900
20260605,ens5,202612,2.9805
20260605,ens5,202701,2.9969
20260605,ens5,202702,3.1420
20260610,ens1,202607,2.0272
20260610,ens1,202608,2.3468
20260610,ens2,202607,2.0584
20260610,ens2,202608,2.3708
20260610,ens3,202607,2.1614
20260610,ens3,202608,2.6163
20260610,ens3,202609,3.0741
20260610,ens3,202610,3.1194
20260610,ens3,202611,3.2370
20260610,ens3,202612,3.1785
20260610,ens3,202701,3.1505
20260610,ens3,202702,3.1071
20260610,ens4,202607,2.0956
20260610,ens4,202608,2.5242
20260610,ens4,202609,2.8876
20260610,ens4,202610,3.1170
20260610,ens4,202611,3.3672
20260610,ens4,202612,3.4632
20260610,ens4,202701,3.3022
20260610,ens4,202702,2.9176
20260610,ens5,202607,2.1505
20260610,ens5,202608,2.5166
20260610,ens5,202609,2.9869
20260610,ens5,202610,3.3274
20260610,ens5,202611,3.5601
20260610,ens5,202612,3.5270
20260610,ens5,202701,3.3480
20260610,ens5,202702,2.9194
20260615,ens1,202607,1.9541
20260615,ens1,202608,2.2007
20260615,ens2,202607,2.0156
20260615,ens2,202608,2.3175
20260615,ens3,202607,1.9629
20260615,ens3,202608,2.1936
20260615,ens4,202607,2.0376
20260615,ens4,202608,2.5960
20260615,ens5,202607,2.0772
20260615,ens5,202608,2.4856
20260620,ens1,202607,1.8814
20260620,ens1,202608,2.3384
20260620,ens1,202609,2.6609
20260620,ens1,202610,2.8075
20260620,ens1,202611,2.9870
20260620,ens1,202612,3.0933
20260620,ens1,202701,3.2148
20260620,ens1,202702,3.1128
20260620,ens2,202607,2.0369
20260620,ens2,202608,2.4028
20260620,ens3,202607,2.0638
20260620,ens3,202608,2.5161
20260620,ens4,202607,1.9820
20260620,ens4,202608,2.3507
20260620,ens5,202607,2.0711
20260620,ens5,202608,2.4549
20260625,ens1,202607,2.0509
20260625,ens1,202608,2.3787
20260625,ens2,202607,1.9498
20260625,ens2,202608,2.4524
20260625,ens3,202607,1.8865
20260625,ens3,202608,2.1289
20260625,ens3,202609,2.1508
20260625,ens3,202610,2.1963
20260625,ens3,202611,2.4236
20260625,ens3,202612,2.5527
20260625,ens3,202701,2.5044
20260625,ens3,202702,2.5294
20260625,ens4,202607,1.8949
20260625,ens4,202608,2.2936
20260625,ens5,202607,1.9384
20260625,ens5,202608,2.4158
20260625,ens5,202609,2.5459
20260625,ens5,202610,2.6984
20260625,ens5,202611,2.7572
20260625,ens5,202612,2.8021
20260625,ens5,202701,2.9103
20260625,ens5,202702,2.9686
20260630,ens1,202607,1.9553
20260630,ens1,202608,2.3488
20260630,ens10,202607,1.9834
20260630,ens10,202608,2.4594
20260630,ens11,202607,2.0041
20260630,ens11,202608,2.3983
20260630,ens12,202607,1.9457
20260630,ens12,202608,2.3417
20260630,ens13,202607,1.9907
20260630,ens13,202608,2.4526
20260630,ens14,202607,1.9942
20260630,ens14,202608,2.3998
20260630,ens15,202607,1.9868
20260630,ens15,202608,2.4056
20260630,ens2,202607,1.9995
20260630,ens2,202608,2.4708
20260630,ens3,202607,1.9486
20260630,ens3,202608,2.3514
20260630,ens4,202607,1.9305
20260630,ens4,202608,2.3820
20260630,ens4,202609,2.8552
20260630,ens4,202610,3.1182
20260630,ens4,202611,3.2687
20260630,ens4,202612,3.3816
20260630,ens4,202701,3.4415
20260630,ens4,202702,3.5032
20260630,ens5,202607,1.9430
20260630,ens5,202608,2.4557
20260630,ens6,202607,1.9915
20260630,ens6,202608,2.3457
20260630,ens6,202609,2.4309
20260630,ens6,202610,2.4987
20260630,ens6,202611,2.6772
20260630,ens6,202612,2.7423
20260630,ens6,202701,2.7988
20260630,ens6,202702,2.7934
20260630,ens7,202607,1.9854
20260630,ens7,202608,2.4237
20260630,ens8,202607,1.9841
20260630,ens8,202608,2.4275
20260630,ens9,202607,1.9855
20260630,ens9,202608,2.3031
